model,track,split,metric,value
Melody-G1,GSM5652358_Gallbladder-Epithelial-Z00000432,SAMPLE_VALID,AUC,0.90720203
Melody-G1,GSM5652358_Gallbladder-Epithelial-Z00000432,SAMPLE_TEST,AUC,0.905754702
Melody-G1,GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,AUC,0.90742235
Melody-G1,GSM5652358_Gallbladder-Epithelial-Z00000432,TEST,AUC,0.906565909
Melody-G1,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,SAMPLE_VALID,AUC,0.901268327
Melody-G1,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,SAMPLE_TEST,AUC,0.909395208
Melody-G1,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,AUC,0.901731298
Melody-G1,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,TEST,AUC,0.900049878
Melody-G1,GSM5652370_Colon-Right-Epithelial-Z000000V0,SAMPLE_VALID,AUC,0.887622355
Melody-G1,GSM5652370_Colon-Right-Epithelial-Z000000V0,SAMPLE_TEST,AUC,0.89857089
Melody-G1,GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,AUC,0.896793055
Melody-G1,GSM5652370_Colon-Right-Epithelial-Z000000V0,TEST,AUC,0.895972186
Melody-G1,GSM5652378_Small-int-Epithelial-Z0000042V,SAMPLE_VALID,AUC,0.897286259
Melody-G1,GSM5652378_Small-int-Epithelial-Z0000042V,SAMPLE_TEST,AUC,0.907756822
Melody-G1,GSM5652378_Small-int-Epithelial-Z0000042V,VALID,AUC,0.899414875
Melody-G1,GSM5652378_Small-int-Epithelial-Z0000042V,TEST,AUC,0.899073128
Melody-G2,GSM5652176_Adipocytes-Z000000T7,SAMPLE_VALID,AUC,0.916047173
Melody-G2,GSM5652176_Adipocytes-Z000000T7,SAMPLE_TEST,AUC,0.919542957
Melody-G2,GSM5652176_Adipocytes-Z000000T7,VALID,AUC,0.899419546
Melody-G2,GSM5652176_Adipocytes-Z000000T7,TEST,AUC,0.900029769
Melody-G2,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_VALID,AUC,0.901413899
Melody-G2,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_TEST,AUC,0.909411298
Melody-G2,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,AUC,0.899493441
Melody-G2,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,AUC,0.89791686
Melody-G2,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_VALID,AUC,0.917718821
Melody-G2,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_TEST,AUC,0.920005165
Melody-G2,GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,AUC,0.895716731
Melody-G2,GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,AUC,0.895047225
Melody-G2,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_VALID,AUC,0.877029713
Melody-G2,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_TEST,AUC,0.8828405
Melody-G2,GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,AUC,0.84094472
Melody-G2,GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,AUC,0.840432108
Melody-G2,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_VALID,AUC,0.8967619
Melody-G2,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_TEST,AUC,0.911840314
Melody-G2,GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,AUC,0.87761258
Melody-G2,GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,AUC,0.87640296
Melody-G2,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_VALID,AUC,0.889321646
Melody-G2,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_TEST,AUC,0.89971357
Melody-G2,GSM5652205_Skeletal-Muscle-Z00000427,VALID,AUC,0.881488314
Melody-G2,GSM5652205_Skeletal-Muscle-Z00000427,TEST,AUC,0.885019661
Melody-G2,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,SAMPLE_VALID,AUC,0.896249663
Melody-G2,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,SAMPLE_TEST,AUC,0.898267146
Melody-G2,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,AUC,0.863962629
Melody-G2,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,AUC,0.86206227
Melody-G2,GSM5652215_Heart-Cardiomyocyte-Z0000044P,SAMPLE_VALID,AUC,0.861350563
Melody-G2,GSM5652215_Heart-Cardiomyocyte-Z0000044P,SAMPLE_TEST,AUC,0.86503073
Melody-G2,GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,AUC,0.854692266
Melody-G2,GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,AUC,0.85199064
Melody-G2,GSM5652218_Bone-Osteoblasts-Z0000042Z,SAMPLE_VALID,AUC,0.886396331
Melody-G2,GSM5652218_Bone-Osteoblasts-Z0000042Z,SAMPLE_TEST,AUC,0.893476741
Melody-G2,GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,AUC,0.850084284
Melody-G2,GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,AUC,0.851282742
Melody-G2,GSM5652219_Oligodendrocytes-Z000000TK,SAMPLE_VALID,AUC,0.88877593
Melody-G2,GSM5652219_Oligodendrocytes-Z000000TK,SAMPLE_TEST,AUC,0.902789429
Melody-G2,GSM5652219_Oligodendrocytes-Z000000TK,VALID,AUC,0.875674428
Melody-G2,GSM5652219_Oligodendrocytes-Z000000TK,TEST,AUC,0.880508725
Melody-G2,GSM5652233_Liver-Hepatocytes-Z000000R3,SAMPLE_VALID,AUC,0.899598077
Melody-G2,GSM5652233_Liver-Hepatocytes-Z000000R3,SAMPLE_TEST,AUC,0.900380611
Melody-G2,GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,AUC,0.865710899
Melody-G2,GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,AUC,0.859316039
Melody-G2,GSM5652239_Pancreas-Duct-Z0000043T,SAMPLE_VALID,AUC,0.905812791
Melody-G2,GSM5652239_Pancreas-Duct-Z0000043T,SAMPLE_TEST,AUC,0.908335246
Melody-G2,GSM5652239_Pancreas-Duct-Z0000043T,VALID,AUC,0.884936969
Melody-G2,GSM5652239_Pancreas-Duct-Z0000043T,TEST,AUC,0.881878665
Melody-G2,GSM5652243_Pancreas-Acinar-Z000000QX,SAMPLE_VALID,AUC,0.85166275
Melody-G2,GSM5652243_Pancreas-Acinar-Z000000QX,SAMPLE_TEST,AUC,0.864930567
Melody-G2,GSM5652243_Pancreas-Acinar-Z000000QX,VALID,AUC,0.80763437
