gene,score
IL1A,0.0171528059042002
RGS1,0.0170892735154823
SYTL3,-0.0134071320767746
COL12A1,-0.0133603307048383
MXRA5,0.0169584447009676
PCDH12,-0.0132205529949794
LAD1,-0.0132140204900086
CA9,-0.0131856533105195
F2RL3,0.0167540460643598
LAMA3,-0.013163460691049
CTSC,-0.0131531697581415
SRPX2,-0.0131520959219144
PIK3R6,-0.0129901255921283
ANXA1,0.0165197632519327
CYP26B1,0.0164375247382261
TREM2,-0.0128835473250088
CRLF1,-0.0128599229234454
TXNRD1,-0.0128564329551365
BCHE,-0.0128224281344275
GPR183,-0.0128022937011731
IFI27,-0.0127861861545696
ADAMTS1,-0.0127808169725207
CXCR4,-0.0127196082952446
OLFML1,-0.0126526724905106
OLFM4,0.0160661397149881
MMP10,-0.0125653337933513
HTRA3,-0.0125155793714479
C4BPA,-0.0124783530416009
UPK1B,-0.0124731628320282
IGSF1,-0.0124587555262317
CALCR,-0.0124563393941499
SYCN,-0.0123373225221254
MET,-0.012313698120562
C7,-0.0122819304590021
UBQLNL,-0.0122819304590021
LAMA4,0.015603619362706
RELN,-0.0122608116757587
CCL20,-0.012254458143264
CASP1,-0.0122479256382932
P4HA3,-0.0121696250644246
F2R,-0.0121413473716303
ANGPTL2,-0.0120901611680908
NCKAP1L,-0.0120835391764252
COL6A3,-0.0119938738338787
CTSG,-0.011922105764981
SLC3A1,0.0151422396278793
ARHGDIB,0.0151212522679797
ISLR,0.0151206819589609
EGR3,-0.0118436262181795
PTAFR,-0.0117951246058928
ACTA2,-0.011758703653102
AKR1C1,-0.0117295310965568
TMEM119,-0.0116950788442008
BIRC5,-0.0116422818856356
SIGLEC8,0.0147327579840741
LIPG,-0.0115516321926434
IL6,-0.0115425045831145
CP,-0.0115161061036035
SFRP2,-0.0114911394066421
IL33,-0.0114789692599947
LRP1,-0.0114680519229639
AEBP1,0.0145588138323046
FABP4,-0.0114316309706299
CDH11,-0.011403711222788
ITGA1,-0.0113794604166446
TUBB1,-0.0113623685200521
HSD11B1,-0.0113470663505047
KRT6B,-0.0113129720435577
PTX3,-0.0112855892145144
TEK,0.0143098170556917
TPM2,-0.0111888544481985
SOX4,0.0141569743248106
ITGA11,-0.0111022316423139
C1QB,-0.0110937304369083
SLPI,-0.0110718957628468
FLT1,-0.01100164896228
HEG1,0.0139493819595604
