config,track,split,metric,value
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,AUC,0.8980056519689472
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,Accuracy,0.8760306916625094
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,MAE,0.1308283947898834
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,TEST,Pearson,0.7997055510974761
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,TEST,Spearman,0.6851581739508715
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,TEST,AUC,0.9007391511328361
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,TEST,Accuracy,0.897544744139148
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,TEST,MAE,0.1237682319059126
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,Pearson,0.7568217427115255
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,Spearman,0.7072194508717021
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,AUC,0.8757112810044172
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,Accuracy,0.8006078080514645
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,MAE,0.147581043795366
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,Pearson,0.7015704937604086
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,Spearman,0.510861882011169
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,AUC,0.8666565051118694
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,Accuracy,0.8765318919704641
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,MAE,0.18324622513718
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,Pearson,0.7642075983609733
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,Spearman,0.7295213255769673
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,AUC,0.8856099602637519
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,Accuracy,0.8196774564688125
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,MAE,0.1521454994188654
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,TEST,Pearson,0.7999693570582904
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,TEST,Spearman,0.5652404950823043
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,TEST,AUC,0.9146033223128915
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,TEST,Accuracy,0.9201891588103652
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,TEST,MAE,0.1211843480211413
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,TEST,Pearson,0.8222237504701505
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,TEST,Spearman,0.6057029766888866
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,TEST,AUC,0.9181993089443419
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,TEST,Accuracy,0.9393093474895867
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,TEST,MAE,0.1048927954633153
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,Pearson,0.7843152286923889
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,Spearman,0.6622454233786641
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,AUC,0.9027355355539343
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,Accuracy,0.8954525697309468
with CpG-count loss,GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,MAE,0.1279919959000616
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,TEST,Pearson,0.786492625225741
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,TEST,Spearman,0.5914267665839658
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,TEST,AUC,0.9088599463231567
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,TEST,Accuracy,0.9114928433102102
with CpG-count loss,GSM5652239_Pancreas-Duct-Z0000043T,TEST,MAE,0.1229897570413222
