model,track,split,metric,value
iDNA-ABT,Liver-Hepatocytes,TEST,AUC,0.7069911788116912
iDNA-ABT,Lung-Alveolar-Epithelial,VALID,Pearson,0.5034453446615584
iDNA-ABT,Lung-Alveolar-Epithelial,VALID,Spearman,0.4240039649857663
iDNA-ABT,Lung-Alveolar-Epithelial,VALID,AUC,0.7594538183659505
iDNA-ABT,Lung-Alveolar-Epithelial,TEST,Pearson,0.488549761244065
iDNA-ABT,Lung-Alveolar-Epithelial,TEST,Spearman,0.4209494406221671
iDNA-ABT,Lung-Alveolar-Epithelial,TEST,AUC,0.7604517600641749
iDNA-ABT,Lung-Bronchus-Epithelial,VALID,Pearson,0.4989794382155286
iDNA-ABT,Lung-Bronchus-Epithelial,VALID,Spearman,0.401366057281588
iDNA-ABT,Lung-Bronchus-Epithelial,VALID,AUC,0.753473706466149
iDNA-ABT,Lung-Bronchus-Epithelial,TEST,Pearson,0.5038457895910864
iDNA-ABT,Lung-Bronchus-Epithelial,TEST,Spearman,0.4035211057395432
iDNA-ABT,Lung-Bronchus-Epithelial,TEST,AUC,0.7555063746418176
iDNA-ABT,Oligodendrocytes,VALID,Pearson,0.4516942863478834
iDNA-ABT,Oligodendrocytes,VALID,Spearman,0.1780367435597442
iDNA-ABT,Oligodendrocytes,VALID,AUC,0.7004832084854966
iDNA-ABT,Oligodendrocytes,TEST,Pearson,0.4553753332570272
iDNA-ABT,Oligodendrocytes,TEST,Spearman,0.1921949153400529
iDNA-ABT,Oligodendrocytes,TEST,AUC,0.7120899672643426
iDNA-ABT,Ovary-Epithelial,VALID,Pearson,0.3862657177240753
iDNA-ABT,Ovary-Epithelial,VALID,Spearman,0.2827512557863843
iDNA-ABT,Ovary-Epithelial,VALID,AUC,0.6928104345056955
iDNA-ABT,Ovary-Epithelial,TEST,Pearson,0.3842364970683222
iDNA-ABT,Ovary-Epithelial,TEST,Spearman,0.2817105918953774
iDNA-ABT,Ovary-Epithelial,TEST,AUC,0.6907905896831501
iDNA-ABT,Pancreas-Acinar,VALID,Pearson,0.4557520246631346
iDNA-ABT,Pancreas-Acinar,VALID,Spearman,0.4316104388938293
iDNA-ABT,Pancreas-Acinar,VALID,AUC,0.7365957336033515
iDNA-ABT,Pancreas-Acinar,TEST,Pearson,0.4537068510143286
iDNA-ABT,Pancreas-Acinar,TEST,Spearman,0.4245978421492564
iDNA-ABT,Pancreas-Acinar,TEST,AUC,0.7370092322587415
iDNA-ABT,Pancreas-Alpha,VALID,Pearson,0.505746159782911
iDNA-ABT,Pancreas-Alpha,VALID,Spearman,0.3896566273154267
iDNA-ABT,Pancreas-Alpha,VALID,AUC,0.7625927036058506
iDNA-ABT,Pancreas-Alpha,TEST,Pearson,0.506037080172431
iDNA-ABT,Pancreas-Alpha,TEST,Spearman,0.3808119112321937
iDNA-ABT,Pancreas-Alpha,TEST,AUC,0.7617581556975589
iDNA-ABT,Pancreas-Beta,VALID,Pearson,0.4995213928153684
iDNA-ABT,Pancreas-Beta,VALID,Spearman,0.3784546588325036
iDNA-ABT,Pancreas-Beta,VALID,AUC,0.7621380449079708
iDNA-ABT,Pancreas-Beta,TEST,Pearson,0.4756662437539638
iDNA-ABT,Pancreas-Beta,TEST,Spearman,0.3737686294050037
iDNA-ABT,Pancreas-Beta,TEST,AUC,0.7574446582702851
iDNA-ABT,Pancreas-Delta,VALID,Pearson,0.481432031616177
iDNA-ABT,Pancreas-Delta,VALID,Spearman,0.3636659676011409
iDNA-ABT,Pancreas-Delta,VALID,AUC,0.7581863843532755
iDNA-ABT,Pancreas-Delta,TEST,Pearson,0.484562288759033
iDNA-ABT,Pancreas-Delta,TEST,Spearman,0.3624724416141266
iDNA-ABT,Pancreas-Delta,TEST,AUC,0.7583370038973669
iDNA-ABT,Pancreas-Duct,VALID,Pearson,0.5023245881572869
iDNA-ABT,Pancreas-Duct,VALID,Spearman,0.3539114767057926
iDNA-ABT,Pancreas-Duct,VALID,AUC,0.7611539443939418
iDNA-ABT,Pancreas-Duct,TEST,Pearson,0.5020311574594962
iDNA-ABT,Pancreas-Duct,TEST,Spearman,0.3523120405955968
iDNA-ABT,Pancreas-Duct,TEST,AUC,0.7621612188414547
iDNA-ABT,Prostate-Epithelial,VALID,Pearson,0.4796305455854021
iDNA-ABT,Prostate-Epithelial,VALID,Spearman,0.3609467341722014
iDNA-ABT,Prostate-Epithelial,VALID,AUC,0.744255139566435
iDNA-ABT,Prostate-Epithelial,TEST,Pearson,0.4830916167395157
iDNA-ABT,Prostate-Epithelial,TEST,Spearman,0.3636072525007723
iDNA-ABT,Prostate-Epithelial,TEST,AUC,0.7476218849010771
iDNA-ABT,Skeletal-Muscle,VALID,Pearson,0.4736989100600771
iDNA-ABT,Skeletal-Muscle,VALID,Spearman,0.3739078850435179
iDNA-ABT,Skeletal-Muscle,VALID,AUC,0.7317456295393745
iDNA-ABT,Skeletal-Muscle,TEST,Pearson,0.475604765099534
iDNA-ABT,Skeletal-Muscle,TEST,Spearman,0.3757182893290211
iDNA-ABT,Skeletal-Muscle,TEST,AUC,0.7376875188303896
iDNA-ABT,Small-int-Epithelial,VALID,Pearson,0.425233333137617
iDNA-ABT,Small-int-Epithelial,VALID,Spearman,0.3205772637614049
iDNA-ABT,Small-int-Epithelial,VALID,AUC,0.7173017896190137
iDNA-ABT,Small-int-Epithelial,TEST,Pearson,0.424102362727287
iDNA-ABT,Small-int-Epithelial,TEST,Spearman,0.3245617815158968
iDNA-ABT,Small-int-Epithelial,TEST,AUC,0.7182477391996455
iDNA-ABT,Thyroid-Epithelial,VALID,Pearson,0.5140289850415055
iDNA-ABT,Thyroid-Epithelial,VALID,Spearman,0.348695570537641
iDNA-ABT,Thyroid-Epithelial,VALID,AUC,0.768290242545132
iDNA-ABT,Thyroid-Epithelial,TEST,Pearson,0.5157446817214623
iDNA-ABT,Thyroid-Epithelial,TEST,Spearman,0.3474570415382963
iDNA-ABT,Thyroid-Epithelial,TEST,AUC,0.7708422721010857
iDNA-ABT,Tonsil-Palatine-Epithelial,VALID,Pearson,0.4754199688277881
iDNA-ABT,Tonsil-Palatine-Epithelial,VALID,Spearman,0.4046875799881635
