model,fpr,tpr
Melody-MT,0.0015169428280533,0.0586986105119574
Melody-MT,0.001524636536395,0.0590005198481351
Melody-MT,0.0015336125294604,0.0593088391489874
Melody-MT,0.0015464353766967,0.0596049795169578
Melody-MT,0.0015579759392094,0.0599040043690319
Melody-MT,0.0015682342169984,0.0602504629596986
Melody-MT,0.0015772102100638,0.060598524041534
Melody-MT,0.0015861862031292,0.0609052408512176
Melody-MT,0.0016067027587073,0.061278621293518
Melody-MT,0.0016169610364963,0.0615744411632547
Melody-MT,0.0016323484531799,0.061879234983536
Melody-MT,0.0016400421615217,0.0622311420441761
Melody-MT,0.0016490181545871,0.0625433073238333
Melody-MT,0.001663123286547,0.0628538701123218
Melody-MT,0.0016746638490597,0.0632096231517668
Melody-MT,0.0016874866962959,0.0635249934137612
Melody-MT,0.001697744974085,0.0638179287993943
Melody-MT,0.0017156969602158,0.0641550929412828
Melody-MT,0.0017272375227284,0.0644685402138748
Melody-MT,0.001742624939412,0.0647835899776356
Melody-MT,0.0017451895088593,0.0651204336212903
Melody-MT,0.0017567300713719,0.0654309964097787
Melody-MT,0.0017657060644373,0.0657377132194624
Melody-MT,0.0017810934811209,0.0660944277536086
Melody-MT,0.001787504904739,0.0663956960933188
Melody-MT,0.0017926340436335,0.0667213222987928
Melody-MT,0.0018041746061462,0.0670911772605221
Melody-MT,0.0018144328839352,0.0674264184130081
Melody-MT,0.0018208443075534,0.067748519137911
Melody-MT,0.0018311025853424,0.0681222200784451
Melody-MT,0.0018477722867496,0.0684680376726443
Melody-MT,0.0018580305645386,0.0687997533445593
Melody-MT,0.0018721356964985,0.0691484554228621
Melody-MT,0.0018747002659458,0.0694494032643386
Melody-MT,0.0018900876826294,0.0697888108938631
Melody-MT,0.0018990636756948,0.0701413589509708
Melody-MT,0.0019144510923783,0.070467946651146
Melody-MT,0.0019298385090619,0.0708028673053982
Melody-MT,0.0019477904951927,0.0711724017688938
Melody-MT,0.0019567664882581,0.0714877720308883
Melody-MT,0.0019670247660471,0.0718076292681551
Melody-MT,0.0019785653285598,0.0721685102793398
Melody-MT,0.0019965173146906,0.0724944569830475
Melody-MT,0.0020144693008214,0.0728226471743914
Melody-MT,0.0020234452938868,0.0731790412103038
Melody-MT,0.0020349858563994,0.0735059494087128
Melody-MT,0.0020478087036357,0.0738395880700301
Melody-MT,0.002060631550872,0.0741988665900462
Melody-MT,0.0020798658217265,0.0745168008379105
Melody-MT,0.0020914063842391,0.0748497985027604
Melody-MT,0.0021003823773045,0.075235037379709
Melody-MT,0.0021132052245408,0.075589508426219
Melody-MT,0.0021234635023299,0.0759154551299267
Melody-MT,0.0021324394953953,0.0762824256075524
Melody-MT,0.0021414154884607,0.0766509985763468
Melody-MT,0.0021568029051442,0.0769788682694569
Melody-MT,0.0021683434676569,0.0773919904927404
Melody-MT,0.0021824485996168,0.0777198601858505
Melody-MT,0.0021901423079586,0.0780573448259726
Melody-MT,0.0022068120093658,0.0784089313883791
Melody-MT,0.0022247639954966,0.0787435315443976
Melody-MT,0.0022388691274565,0.0790659527675343
Melody-MT,0.0022504096899691,0.0794652935667671
Melody-MT,0.0022568211135873,0.0797793818358267
Melody-MT,0.0022683616761,0.0801402628470114
Melody-MT,0.002288878231678,0.0805168482716491
Melody-MT,0.0023029833636379,0.0808873442298459
Melody-MT,0.0023209353497688,0.0812123294388524
Melody-MT,0.0023324759122814,0.0815885943652564
Melody-MT,0.0023440164747941,0.0819251175106774
Melody-MT,0.0023568393220304,0.0822792680589537
Melody-MT,0.002368379884543,0.0826414310630734
Melody-MT,0.0023837673012266,0.0829920561307786
Melody-MT,0.002403001572081,0.0833385147214453
Melody-MT,0.0024119775651464,0.0837455474782878
Melody-MT,0.00242736498183,0.0841029030089015
Melody-MT,0.0024350586901718,0.0844439131295947
Melody-MT,0.0024401878290663,0.0848224215436348
Melody-MT,0.0024427523985135,0.0851733671095738
Melody-MT,0.0024555752457498,0.085525274170214
Melody-MT,0.0024645512388152,0.0859191664994734
Melody-MT,0.0024760918013279,0.086271714556581
Melody-MT,0.0024889146485642,0.0866268265995586
Melody-MT,0.0025017374958005,0.0870078989994686
Melody-MT,0.0025145603430368,0.087359485561875
Melody-MT,0.0025273831902731,0.0877303020183055
Melody-MT,0.0025376414680621,0.0880745171213361
Melody-MT,0.002551746600022,0.0884238601961064
Melody-MT,0.0025607225930874,0.0887844207090574
Melody-MT,0.002576110009771,0.0891850435012252
Melody-MT,0.0025889328570073,0.0895443220212413
Melody-MT,0.0026030379889672,0.089906485025361
Melody-MT,0.0026171431209271,0.0903000568563866
Melody-MT,0.0026299659681634,0.0906548484011304
Melody-MT,0.0026453533848469,0.0910089989494067
Melody-MT,0.0026620230862541,0.0913961608157577
Melody-MT,0.0026684345098723,0.0917416579117232
Melody-MT,0.0026851042112794,0.0920945264670646
Melody-MT,0.0027030561974102,0.0924733553793385
Melody-MT,0.002710749905752,0.0928214164611738
Melody-MT,0.0027222904682647,0.0932364616738597
Melody-MT,0.0027402424543955,0.0936348409783913
Melody-MT,0.0027543475863554,0.0939857865443303
Melody-MT,0.0027658881488681,0.0943293606508934
Melody-MT,0.0027748641419335,0.0947254964677889
