model,track,split,metric,value
iDNA-ABT,Lung-Bronchus-Epithelial,TEST,Spearman,0.4035211057395432
iDNA-ABT,Lung-Bronchus-Epithelial,TEST,AUC,0.7555063746418176
iDNA-ABT,Lung-Bronchus-Epithelial,cell type specific,Spearman,0.04487796357359758
iDNA-ABT,Lung-Bronchus-Epithelial,cell type specific,AUC,0.5601180184889558
iDNA-ABT,Oligodendrocytes,VALID,Spearman,0.1780367435597442
iDNA-ABT,Oligodendrocytes,VALID,AUC,0.7004832084854966
iDNA-ABT,Oligodendrocytes,TEST,Spearman,0.1921949153400529
iDNA-ABT,Oligodendrocytes,TEST,AUC,0.7120899672643426
iDNA-ABT,Oligodendrocytes,cell type specific,Spearman,0.1070801021558298
iDNA-ABT,Oligodendrocytes,cell type specific,AUC,0.6836673060009114
iDNA-ABT,Ovary-Epithelial,VALID,Spearman,0.2827512557863843
iDNA-ABT,Ovary-Epithelial,VALID,AUC,0.6928104345056955
iDNA-ABT,Ovary-Epithelial,TEST,Spearman,0.2817105918953774
iDNA-ABT,Ovary-Epithelial,TEST,AUC,0.6907905896831501
iDNA-ABT,Ovary-Epithelial,cell type specific,Spearman,0.1601402886002654
iDNA-ABT,Ovary-Epithelial,cell type specific,AUC,0.621367618847555
iDNA-ABT,Pancreas-Acinar,VALID,Spearman,0.4316104388938293
iDNA-ABT,Pancreas-Acinar,VALID,AUC,0.7365957336033515
iDNA-ABT,Pancreas-Acinar,TEST,Spearman,0.4245978421492564
iDNA-ABT,Pancreas-Acinar,TEST,AUC,0.7370092322587415
iDNA-ABT,Pancreas-Acinar,cell type specific,Spearman,0.04431257601661171
iDNA-ABT,Pancreas-Acinar,cell type specific,AUC,0.624311721041259
iDNA-ABT,Pancreas-Alpha,VALID,Spearman,0.3896566273154267
iDNA-ABT,Pancreas-Alpha,VALID,AUC,0.7625927036058506
iDNA-ABT,Pancreas-Alpha,TEST,Spearman,0.3808119112321937
iDNA-ABT,Pancreas-Alpha,TEST,AUC,0.7617581556975589
iDNA-ABT,Pancreas-Alpha,cell type specific,Spearman,0.1230287060615157
iDNA-ABT,Pancreas-Alpha,cell type specific,AUC,0.5906265074440615
iDNA-ABT,Pancreas-Beta,VALID,Spearman,0.3784546588325036
iDNA-ABT,Pancreas-Beta,VALID,AUC,0.7621380449079708
iDNA-ABT,Pancreas-Beta,TEST,Spearman,0.3737686294050037
iDNA-ABT,Pancreas-Beta,TEST,AUC,0.7574446582702851
iDNA-ABT,Pancreas-Beta,cell type specific,Spearman,0.009012146108414481
iDNA-ABT,Pancreas-Beta,cell type specific,AUC,0.4822375552987259
iDNA-ABT,Pancreas-Delta,VALID,Spearman,0.3636659676011409
iDNA-ABT,Pancreas-Delta,VALID,AUC,0.7581863843532755
iDNA-ABT,Pancreas-Delta,TEST,Spearman,0.3624724416141266
iDNA-ABT,Pancreas-Delta,TEST,AUC,0.7583370038973669
iDNA-ABT,Pancreas-Delta,cell type specific,Spearman,0.06735577157338458
iDNA-ABT,Pancreas-Delta,cell type specific,AUC,0.5761780919764519
iDNA-ABT,Pancreas-Duct,VALID,Spearman,0.3539114767057926
iDNA-ABT,Pancreas-Duct,VALID,AUC,0.7611539443939418
iDNA-ABT,Pancreas-Duct,TEST,Spearman,0.3523120405955968
iDNA-ABT,Pancreas-Duct,TEST,AUC,0.7621612188414547
iDNA-ABT,Pancreas-Duct,cell type specific,Spearman,0.1283604366881681
iDNA-ABT,Pancreas-Duct,cell type specific,AUC,0.6411903602284512
iDNA-ABT,Prostate-Epithelial,VALID,Spearman,0.3609467341722014
iDNA-ABT,Prostate-Epithelial,VALID,AUC,0.744255139566435
iDNA-ABT,Prostate-Epithelial,TEST,Spearman,0.3636072525007723
iDNA-ABT,Prostate-Epithelial,TEST,AUC,0.7476218849010771
iDNA-ABT,Prostate-Epithelial,cell type specific,Spearman,0.2097661500974644
iDNA-ABT,Prostate-Epithelial,cell type specific,AUC,0.6769822567007224
iDNA-ABT,Skeletal-Muscle,VALID,Spearman,0.3739078850435179
iDNA-ABT,Skeletal-Muscle,VALID,AUC,0.7317456295393745
iDNA-ABT,Skeletal-Muscle,TEST,Spearman,0.3757182893290211
iDNA-ABT,Skeletal-Muscle,TEST,AUC,0.7376875188303896
iDNA-ABT,Skeletal-Muscle,cell type specific,Spearman,0.05846129858090235
iDNA-ABT,Skeletal-Muscle,cell type specific,AUC,0.5362015887434591
iDNA-ABT,Small-int-Epithelial,VALID,Spearman,0.3205772637614049
iDNA-ABT,Small-int-Epithelial,VALID,AUC,0.7173017896190137
iDNA-ABT,Small-int-Epithelial,TEST,Spearman,0.3245617815158968
iDNA-ABT,Small-int-Epithelial,TEST,AUC,0.7182477391996455
iDNA-ABT,Small-int-Epithelial,cell type specific,Spearman,0.1747073039494517
iDNA-ABT,Small-int-Epithelial,cell type specific,AUC,0.6266816849202173
iDNA-ABT,Thyroid-Epithelial,VALID,Spearman,0.348695570537641
iDNA-ABT,Thyroid-Epithelial,VALID,AUC,0.768290242545132
iDNA-ABT,Thyroid-Epithelial,TEST,Spearman,0.3474570415382963
iDNA-ABT,Thyroid-Epithelial,TEST,AUC,0.7708422721010857
iDNA-ABT,Thyroid-Epithelial,cell type specific,Spearman,0.1744823732789167
iDNA-ABT,Thyroid-Epithelial,cell type specific,AUC,0.5606032049766091
iDNA-ABT,Tonsil-Palatine-Epithelial,VALID,Spearman,0.4046875799881635
iDNA-ABT,Tonsil-Palatine-Epithelial,VALID,AUC,0.7344773138104509
iDNA-ABT,Tonsil-Palatine-Epithelial,TEST,Spearman,0.4022524509337972
iDNA-ABT,Tonsil-Palatine-Epithelial,TEST,AUC,0.7354829577163536
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_VALID,Spearman,0.3808126860691354
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_VALID,AUC,0.7171753985624009
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_TEST,Spearman,0.4521946102251673
iDNA-ABT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_TEST,AUC,0.7562832680044624
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_VALID,Spearman,0.3877567332016496
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_VALID,AUC,0.7127131468577573
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_TEST,Spearman,0.4457599543080109
iDNA-ABT,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_TEST,AUC,0.7395327612435881
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_VALID,Spearman,0.3634187356256463
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_VALID,AUC,0.722574022444171
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_TEST,Spearman,0.4173518416786748
iDNA-ABT,GSM5652179_Aorta-Endothel-Z00000422,SAMPLE_TEST,AUC,0.7577816155995134
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_VALID,Spearman,0.2699501930850439
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_VALID,AUC,0.6752197309884055
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_TEST,Spearman,0.352985735474606
iDNA-ABT,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_TEST,AUC,0.7168446961719924
