input_length_bp,track,MAE_valid
50000,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,0.1404980281083232
50000,GSM5652338_Prostate-Epithelial-Z000000RV,0.136133793788392
50000,GSM5652342_Bladder-Epithelial-Z000000QM,0.1581655358207307
50000,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,0.1383103474616998
50000,GSM5652350_Breast-Basal-Epithelial-Z000000V6,0.1408891812572909
50000,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,0.1305711750082166
50000,GSM5652358_Gallbladder-Epithelial-Z00000432,0.1524341947366439
50000,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,0.1478207551097195
50000,GSM5652370_Colon-Right-Epithelial-Z000000V0,0.1595741939711404
50000,GSM5652378_Small-int-Epithelial-Z0000042V,0.159697341534701
