model,recall,precision
Melody-MT,0.9999916670459228,0.8012034038580105
Melody-MT,0.9999907055512216,0.801234112642246
Melody-MT,0.999990385052988,0.8012750087700511
Melody-MT,0.9999900645547544,0.8013078831251848
Melody-MT,0.9999897440565204,0.8013438473473243
Melody-MT,0.9999894235582868,0.8013798148209506
Melody-MT,0.9999887825618192,0.8014134702196491
Melody-MT,0.9999884620635856,0.8014465618982131
Melody-MT,0.999987821067118,0.801487222998423
Melody-MT,0.999987821067118,0.8015292256843534
Melody-MT,0.9999871800706508,0.8015698952521124
Melody-MT,0.9999868595724168,0.8016128854072383
Melody-MT,0.9999865390741832,0.801650524974339
Melody-MT,0.9999865390741832,0.8016925448323193
Melody-MT,0.9999865390741832,0.8017355991573824
Melody-MT,0.9999858980777157,0.8017835010986916
Melody-MT,0.9999858980777157,0.801823062225426
Melody-MT,0.9999858980777157,0.8018690157264191
Melody-MT,0.9999858980777157,0.8019164172322313
Melody-MT,0.9999849365830143,0.801966351338986
Melody-MT,0.9999849365830143,0.8020182998552299
Melody-MT,0.999984295586547,0.8020645863822233
Melody-MT,0.9999833340918458,0.8021120646771605
Melody-MT,0.999983013593612,0.802169755874826
Melody-MT,0.9999826930953783,0.8022202361546349
Melody-MT,0.9999817316006772,0.8022642262385196
Melody-MT,0.9999810906042096,0.8023190002342606
Melody-MT,0.9999810906042096,0.8023685185713797
Melody-MT,0.9999801291095084,0.8024220178956096
Melody-MT,0.9999801291095084,0.8024686595156197
Melody-MT,0.9999791676148072,0.8025236172756436
Melody-MT,0.9999788471165736,0.8025770326568872
Melody-MT,0.999978206120106,0.8026335015393734
Melody-MT,0.9999775651236386,0.802682337820104
Melody-MT,0.9999772446254048,0.8027363940563869
Melody-MT,0.9999766036289374,0.8027930921182128
Melody-MT,0.99997596263247,0.8028611607527691
Melody-MT,0.999974680639535,0.8029297594759239
Melody-MT,0.9999743601413013,0.8029873624654105
Melody-MT,0.9999740396430676,0.8030532413889667
Melody-MT,0.9999737191448338,0.8031162369991625
Melody-MT,0.9999727576501326,0.8031859642727786
Melody-MT,0.9999714756571976,0.8032444862193134
Melody-MT,0.9999705141624964,0.803315683843701
Melody-MT,0.9999692321695616,0.8033812582670447
Melody-MT,0.9999682706748604,0.803443997635023
Melody-MT,0.9999676296783928,0.8035018312905254
Melody-MT,0.9999669886819254,0.8035725047711522
Melody-MT,0.9999666681836916,0.8036376524381605
Melody-MT,0.9999666681836916,0.8037034823635602
Melody-MT,0.999966347685458,0.8037622324334308
Melody-MT,0.9999653861907568,0.803838907285664
Melody-MT,0.999965065692523,0.8039045126135664
Melody-MT,0.9999647451942892,0.8039686785261138
Melody-MT,0.9999647451942892,0.8040347700239326
Melody-MT,0.9999634632013544,0.8041019138484694
Melody-MT,0.9999628222048867,0.8041718645290994
Melody-MT,0.9999618607101856,0.8042378381833845
Melody-MT,0.9999608992154844,0.8043075549258624
Melody-MT,0.9999599377207832,0.8043783207817483
Melody-MT,0.9999596172225494,0.804457496757692
Melody-MT,0.9999576942331472,0.804524196374444
Melody-MT,0.9999560917419784,0.8045967674345138
Melody-MT,0.9999557712437448,0.8046670629818808
Melody-MT,0.9999538482543424,0.8047470822740929
Melody-MT,0.9999535277561086,0.8048240477529394
Melody-MT,0.9999519252649398,0.8048904443264623
Melody-MT,0.9999509637702386,0.8049743981118124
Melody-MT,0.9999506432720048,0.8050393593513422
Melody-MT,0.9999496817773036,0.8051214745767479
Melody-MT,0.99994936127907,0.8052057853300044
Melody-MT,0.9999487202826024,0.8052958834172618
Melody-MT,0.9999487202826024,0.8053752915630257
Melody-MT,0.999947117791434,0.8054596626957901
Melody-MT,0.9999455153002652,0.8055357325432128
Melody-MT,0.9999448743037976,0.805620704444616
Melody-MT,0.9999439128090966,0.8056925362126472
Melody-MT,0.9999426308161616,0.8057770249068116
Melody-MT,0.9999423103179278,0.8058516910048034
Melody-MT,0.9999410283249928,0.805930592426372
Melody-MT,0.9999387848373568,0.8060172717746918
Melody-MT,0.9999378233426556,0.8060985471898471
Melody-MT,0.9999368618479544,0.8061831721799887
Melody-MT,0.9999352593567856,0.8062570888029152
Melody-MT,0.999933656865617,0.8063441481326412
Melody-MT,0.9999330158691496,0.8064186617556783
Melody-MT,0.9999320543744484,0.8065071073740961
Melody-MT,0.9999310928797472,0.8065824354292386
Melody-MT,0.9999291698903447,0.8066690988011094
Melody-MT,0.9999282083956436,0.806754262140484
Melody-MT,0.9999262854062412,0.8068457621687798
Melody-MT,0.99992532391154,0.8069230325569318
Melody-MT,0.9999246829150724,0.8070153973815708
Melody-MT,0.999924041918605,0.8071008932705914
Melody-MT,0.9999224394274364,0.8071822898529277
Melody-MT,0.9999214779327352,0.8072686070560193
Melody-MT,0.9999195549433328,0.8073514505533009
Melody-MT,0.9999185934486317,0.8074434465200915
Melody-MT,0.9999176319539304,0.8075214596384862
Melody-MT,0.9999160294627616,0.8076117226244042
Melody-MT,0.9999147474698268,0.8076897188403186
Melody-MT,0.9999134654768916,0.8077777691473194
Melody-MT,0.9999125039821906,0.8078604497123301
Melody-MT,0.9999118629857232,0.8079482186701485
Melody-MT,0.9999115424874894,0.8080310338683143
Melody-MT,0.9999102604945544,0.8081199966223235
Melody-MT,0.9999089785016196,0.8082018607104314
Melody-MT,0.999908337505152,0.8082876102961941
Melody-MT,0.999907055512217,0.8083695087212179
Melody-MT,0.999905773519282,0.8084543569002349
Melody-MT,0.9999048120245808,0.8085457685557514
Melody-MT,0.999903530031646,0.808635265137024
Melody-MT,0.9999028890351784,0.8087219460098399
Melody-MT,0.9999019275404774,0.8088020959445257
Melody-MT,0.9999009660457762,0.8088881341166831
Melody-MT,0.9998996840528412,0.8089709947258423
Melody-MT,0.9998993635546074,0.8090607350255218
Melody-MT,0.9998977610634388,0.8091400143215534
Melody-MT,0.99989615857227,0.8092354716898912
Melody-MT,0.9998935945864004,0.8093077092291601
Melody-MT,0.9998926330916992,0.8094009958323648
Melody-MT,0.9998910306005304,0.809484123503981
Melody-MT,0.9998903896040628,0.8095682570772349
Melody-MT,0.9998894281093617,0.8096603435518944
Melody-MT,0.999887825618193,0.8097433150194558
Melody-MT,0.9998868641234918,0.809830606762491
Melody-MT,0.9998855821305568,0.8099094578243035
Melody-MT,0.9998836591411544,0.8099985304754976
Melody-MT,0.9998804541588172,0.8100823774562309
Melody-MT,0.9998785311694148,0.8101712785448011
Melody-MT,0.9998778901729471,0.8102572400212553
Melody-MT,0.9998753261870774,0.8103397670400412
Melody-MT,0.9998730826994412,0.8104204658218904
Melody-MT,0.99987212120474,0.8105045364714221
Melody-MT,0.9998708392118052,0.8105759390021755
Melody-MT,0.9998689162224028,0.8106725338049495
Melody-MT,0.9998679547277016,0.8107619248842031
Melody-MT,0.999867313731234,0.810836843583993
Melody-MT,0.9998669932330004,0.8109270018652953
Melody-MT,0.9998637882506628,0.8110064072718519
Melody-MT,0.9998634677524292,0.8110866925215419
Melody-MT,0.9998628267559616,0.8111637809209788
Melody-MT,0.9998609037665592,0.8112404767836089
Melody-MT,0.999859942271858,0.8113167016753454
Melody-MT,0.9998580192824558,0.8114003911223192
Melody-MT,0.9998557757948195,0.8114758170638479
Melody-MT,0.999855134798352,0.8115591027218547
Melody-MT,0.9998525708124822,0.8116353543812874
Melody-MT,0.9998512888195472,0.8117257561667602
Melody-MT,0.9998493658301448,0.8118112215556459
Melody-MT,0.9998464813460411,0.8118826130349863
Melody-MT,0.9998451993531065,0.8119650400431013
Melody-MT,0.9998442378584051,0.8120405575689614
Melody-MT,0.9998426353672364,0.8121221224687005
Melody-MT,0.9998410328760678,0.8121996863303779
Melody-MT,0.9998394303848992,0.8122833987140491
Melody-MT,0.9998381483919642,0.8123576581169962
Melody-MT,0.9998365459007956,0.8124439425680215
Melody-MT,0.9998355844060944,0.8125214549405877
Melody-MT,0.9998343024131594,0.8126029551045414
Melody-MT,0.9998326999219908,0.8126717206069417
Melody-MT,0.9998307769325884,0.8127546360102149
Melody-MT,0.9998301359361208,0.8128265389605991
Melody-MT,0.9998282129467184,0.8129071563626358
Melody-MT,0.9998269309537836,0.8129878875410911
Melody-MT,0.9998259694590824,0.8130599953816426
Melody-MT,0.9998250079643812,0.8131461047864016
Melody-MT,0.9998237259714462,0.8132181922975559
Melody-MT,0.9998221234802775,0.8132978771940116
Melody-MT,0.9998211619855762,0.8133609217651034
Melody-MT,0.999819238996174,0.8134420711785084
Melody-MT,0.9998176365050052,0.8135090718677178
Melody-MT,0.9998153930173692,0.8135978415793297
Melody-MT,0.9998141110244342,0.8136623703434763
Melody-MT,0.9998121880350316,0.8137408216143629
Melody-MT,0.9998109060420968,0.8138189608439471
Melody-MT,0.9998102650456292,0.813896363002135
Melody-MT,0.9998089830526944,0.8139694351743374
Melody-MT,0.9998080215579932,0.8140378958839137
Melody-MT,0.9998064190668244,0.8141056338450867
Melody-MT,0.999804816575656,0.814174658256445
Melody-MT,0.9998035345827208,0.8142473561024656
Melody-MT,0.9998025730880196,0.8143182024640001
Melody-MT,0.9998016115933184,0.8143931008268398
Melody-MT,0.9998012910950848,0.8144585409715839
Melody-MT,0.9998000091021498,0.8145385213528233
Melody-MT,0.9997984066109812,0.814603578652592
Melody-MT,0.9997968041198124,0.8146737526605121
Melody-MT,0.9997964836215788,0.814746260454951
Melody-MT,0.9997958426251112,0.814818945665938
Melody-MT,0.9997958426251112,0.814888334746553
Melody-MT,0.9997952016286438,0.8149542325069112
Melody-MT,0.9997929581410075,0.8150254357759394
Melody-MT,0.9997929581410075,0.8150886839573515
Melody-MT,0.999791355649839,0.8151572386537468
Melody-MT,0.9997897531586704,0.8152226094296552
Melody-MT,0.999787830169268,0.8152915649778083
Melody-MT,0.9997868686745668,0.8153581198453278
Melody-MT,0.9997862276780992,0.8154304890583225
Melody-MT,0.999785266183398,0.8154917371737644
Melody-MT,0.999783022695762,0.8155638892127883
Melody-MT,0.9997814202045932,0.8156301794618576
Melody-MT,0.999780458709892,0.8156967903804241
Melody-MT,0.9997788562187234,0.8157552095250922
Melody-MT,0.9997772537275548,0.8158255853213235
Melody-MT,0.9997753307381524,0.815894218144345
Melody-MT,0.9997737282469836,0.8159533064769895
Melody-MT,0.9997724462540488,0.816014159377226
Melody-MT,0.9997718052575812,0.8160644431997769
Melody-MT,0.99977084376288,0.8161343289908058
Melody-MT,0.9997702027664126,0.816191675037226
Melody-MT,0.9997698822681788,0.8162550577253836
Melody-MT,0.9997692412717114,0.8163113527817168
Melody-MT,0.9997679592787764,0.8163746099906256
Melody-MT,0.9997666772858416,0.8164336034962485
Melody-MT,0.9997657157911404,0.816495218282267
Melody-MT,0.9997653952929064,0.8165518086247845
Melody-MT,0.9997653952929064,0.8166082410832158
Melody-MT,0.9997644337982052,0.8166628269235804
Melody-MT,0.9997641132999716,0.8167162331530019
Melody-MT,0.9997631518052704,0.8167806712708398
Melody-MT,0.9997618698123356,0.8168275323913567
Melody-MT,0.999759946822933,0.8168864964122016
Melody-MT,0.9997596263246992,0.8169392903656489
Melody-MT,0.9997589853282318,0.8169980346307285
Melody-MT,0.9997580238335306,0.8170528873303627
Melody-MT,0.9997570623388294,0.8171212320849429
Melody-MT,0.999756421342362,0.8171712257874887
Melody-MT,0.9997557803458944,0.8172317165696273
Melody-MT,0.9997548188511932,0.8172846738736577
Melody-MT,0.9997535368582584,0.817344015092461
Melody-MT,0.9997519343670898,0.8173945353965547
Melody-MT,0.999751613868856,0.8174506088884347
Melody-MT,0.999750331875921,0.8175121171126075
Melody-MT,0.999749049882986,0.8175637778369527
Melody-MT,0.9997471268935836,0.8176185642103928
Melody-MT,0.9997452039041812,0.8176639274433479
Melody-MT,0.9997432809147788,0.8177182989229266
Melody-MT,0.999741998921844,0.8177622684513403
Melody-MT,0.9997410374271428,0.8178133660808178
Melody-MT,0.9997410374271428,0.8178646134581088
Melody-MT,0.9997400759324416,0.8179185120759317
Melody-MT,0.999739434935974,0.8179656018676703
Melody-MT,0.999737191448338,0.8180180359733435
Melody-MT,0.9997368709501042,0.818064541508766
Melody-MT,0.9997352684589356,0.8181209463643466
Melody-MT,0.9997333454695332,0.8181670106613432
Melody-MT,0.9997327044730656,0.8182186366502672
Melody-MT,0.9997301404871958,0.8182674073648526
Melody-MT,0.9997288584942609,0.8183161601187036
Melody-MT,0.9997278969995596,0.8183668987909823
Melody-MT,0.9997266150066249,0.8184139458039247
Melody-MT,0.9997246920172222,0.8184600440653124
Melody-MT,0.999722448529586,0.8185052409614211
Melody-MT,0.9997208460384176,0.8185591304450512
Melody-MT,0.9997192435472488,0.818605078382822
Melody-MT,0.9997182820525476,0.8186541347996303
Melody-MT,0.9997173205578463,0.8187001888444009
Melody-MT,0.9997166795613788,0.8187493044225079
Melody-MT,0.999715397568444,0.8187920978165572
Melody-MT,0.9997137950772752,0.8188322688138537
Melody-MT,0.9997118720878728,0.8188831451063927
Melody-MT,0.9997102695967044,0.8189280553478564
Melody-MT,0.9997099490984706,0.8189817619084002
Melody-MT,0.9997086671055356,0.8190207092520371
Melody-MT,0.9997073851126006,0.8190723498429461
Melody-MT,0.9997064236178994,0.8191143649224918
Melody-MT,0.9997054621231982,0.819159181004429
Melody-MT,0.9997041801302632,0.8192018031154271
Melody-MT,0.9997028981373284,0.819249593883498
Melody-MT,0.9997022571408608,0.8192899534173931
Melody-MT,0.9997006546496924,0.8193374920015508
Melody-MT,0.9996990521585236,0.8193770722796428
Melody-MT,0.9996964881726536,0.8194208194484033
Melody-MT,0.9996945651832512,0.8194556243983842
Melody-MT,0.9996939241867838,0.8195005261145945
Melody-MT,0.99969360368855,0.8195428962689769
Melody-MT,0.9996916806991476,0.819585679860823
Melody-MT,0.999690078207979,0.8196263617410736
Melody-MT,0.9996894372115116,0.8196639590437766
Melody-MT,0.999688796215044,0.8197084531249179
Melody-MT,0.9996881552185766,0.8197421802173473
Melody-MT,0.9996875142221092,0.8197851746937271
Melody-MT,0.9996859117309403,0.819827600708185
Melody-MT,0.9996836682433043,0.8198707985680967
Melody-MT,0.9996833477450706,0.8199140696774262
Melody-MT,0.9996823862503694,0.8199557418833832
Melody-MT,0.9996820657521356,0.8199916926927243
Melody-MT,0.9996811042574344,0.8200322949726686
Melody-MT,0.9996801427627332,0.8200705296454036
Melody-MT,0.999679181268032,0.8201096304756736
Melody-MT,0.999676937780396,0.82014876159965
Melody-MT,0.999675655787461,0.8201835093976648
Melody-MT,0.999674373794526,0.8202242995372849
Melody-MT,0.9996740532962924,0.8202626470937069
Melody-MT,0.9996724508051236,0.8203018878841154
Melody-MT,0.9996711688121886,0.8203409640528334
Melody-MT,0.9996692458227864,0.8203849123936614
Melody-MT,0.9996666818369164,0.8204181970643719
Melody-MT,0.9996653998439816,0.8204620326617278
Melody-MT,0.999664758847514,0.8204962547432246
Melody-MT,0.999663476854579,0.8205347024117063
Melody-MT,0.9996618743634104,0.8205690049293275
Melody-MT,0.9996612333669428,0.820606906327867
Melody-MT,0.9996602718722416,0.8206467073304531
Melody-MT,0.9996596308757744,0.8206824566587372
Melody-MT,0.999657387388138,0.8207166775514113
Melody-MT,0.9996561053952032,0.8207547144986704
Melody-MT,0.9996548234022682,0.8207923230807044
Melody-MT,0.999653861907567,0.8208252300712385
Melody-MT,0.999652579914632,0.8208630613227782
Melody-MT,0.9996522594163983,0.8208986610042626
Melody-MT,0.9996509774234634,0.8209410366948354
Melody-MT,0.999650336426996,0.820969032943772
Melody-MT,0.9996493749322948,0.8210041154863105
Melody-MT,0.9996484134375936,0.8210348786062561
Melody-MT,0.9996471314446586,0.8210688390965781
Melody-MT,0.9996461699499574,0.821107172793173
Melody-MT,0.9996445674587888,0.8211410923456718
Melody-MT,0.99964296496762,0.8211776091966854
Melody-MT,0.9996420034729188,0.8212079532523419
Melody-MT,0.9996420034729188,0.821244279114443
Melody-MT,0.9996416829746853,0.8212701810651153
Melody-MT,0.9996397599852828,0.8213066626571474
Melody-MT,0.999639439487049,0.8213379757065403
Melody-MT,0.9996375164976464,0.821370353769995
Melody-MT,0.999635914006478,0.8214012673098989
Melody-MT,0.9996355935082442,0.8214356164325838
Melody-MT,0.9996349525117768,0.8214653779935458
Melody-MT,0.9996339910170756,0.8215002876172857
Melody-MT,0.9996327090241406,0.8215342877085775
Melody-MT,0.9996317475294394,0.8215713674228705
Melody-MT,0.999631106532972,0.8216020047252129
Melody-MT,0.999629824540037,0.8216347148041069
Melody-MT,0.9996288630453356,0.8216663922495835
Melody-MT,0.9996272605541672,0.8216994935936515
Melody-MT,0.999625017066531,0.8217344522441271
Melody-MT,0.999623735073596,0.8217604613498561
Melody-MT,0.9996227735788948,0.8217884678518751
Melody-MT,0.9996221325824274,0.821818472137283
Melody-MT,0.9996205300912586,0.8218492040550728
Melody-MT,0.9996195685965574,0.8218778665018144
Melody-MT,0.9996182866036224,0.8219147145336516
Melody-MT,0.999617645607155,0.8219447282544101
Melody-MT,0.9996173251089212,0.8219745744978598
Melody-MT,0.99961636361422,0.8220080120180271
Melody-MT,0.9996154021195188,0.8220351692108764
Melody-MT,0.9996131586318828,0.8220634406879014
Melody-MT,0.9996118766389478,0.8220914215405897
Melody-MT,0.9996109151442466,0.8221270359250659
Melody-MT,0.9996089921548442,0.8221544940473366
