distance_window,model,meQTL_dataset,score
1000,CpGenie,MDSs,0.3023413902145946
1000,CpGenie,skin,0.2580174432950936
1000,INTERACT,CPG_units,0.3495247819636561
1000,INTERACT,EPIC,0.2363159259331053
1000,INTERACT,GTEX_BreastMammaryTissue,0.3336104949825694
1000,INTERACT,GTEX_ColonTransverse,0.3616132992168631
1000,INTERACT,GTEX_KidneyCortex,0.3247503018995697
1000,INTERACT,GTEX_Lung,0.3501551007973067
1000,INTERACT,GTEX_MuscleSkeletal,0.2576417315463539
1000,INTERACT,GTEX_Ovary,0.3097132433148421
1000,INTERACT,GTEX_Prostate,0.3658961358104826
1000,INTERACT,GTEX_Testis,0.2922818191559289
1000,INTERACT,GTEX_WholeBlood,0.3130205430779543
1000,INTERACT,MDSs,0.3849871969438373
1000,INTERACT,skin,0.3375845627473836
1000,Melody-MT,CPG_units,0.4362221466132136
1000,Melody-MT,EPIC,0.253383995605985
1000,Melody-MT,GTEX_BreastMammaryTissue,0.4679041323602154
1000,Melody-MT,GTEX_ColonTransverse,0.4616537599582449
1000,Melody-MT,GTEX_KidneyCortex,0.4453073623411934
1000,Melody-MT,GTEX_Lung,0.4701927817442887
1000,Melody-MT,GTEX_MuscleSkeletal,0.3924453208585533
1000,Melody-MT,GTEX_Ovary,0.4419881859661927
1000,Melody-MT,GTEX_Prostate,0.5120421830844979
1000,Melody-MT,GTEX_Testis,0.3726938808903327
1000,Melody-MT,GTEX_WholeBlood,0.3771680064819625
1000,Melody-MT,MDSs,0.4868411726861683
1000,Melody-MT,skin,0.3579123533376476
2000,CpGenie,CPG_units,0.2565872862277488
2000,CpGenie,EPIC,0.120207385598962
2000,CpGenie,GTEX_BreastMammaryTissue,0.2430880961298858
2000,CpGenie,GTEX_ColonTransverse,0.2507479991493629
2000,CpGenie,GTEX_KidneyCortex,0.2120177011705759
2000,CpGenie,GTEX_Lung,0.2370374025504966
2000,CpGenie,GTEX_MuscleSkeletal,0.1851500738576616
2000,CpGenie,GTEX_Ovary,0.1766134595224779
2000,CpGenie,GTEX_Prostate,0.2307894787990245
2000,CpGenie,GTEX_Testis,0.2197033575115059
2000,CpGenie,GTEX_WholeBlood,0.2105850124735579
