observed,predicted
-0.946378,-0.057160676
-0.750331,-0.0056975037
-0.929973,-0.18954492
-0.958968,0.00048041344
0.809359,-0.00022959709
0.865142,0.080661535
0.854983,0.012792081
0.619488,-0.004050553
0.912333,0.017157696
-0.780885,-0.15019354
0.96868,0.017250918
0.931572,5.2809715e-05
-0.963156,3.4846365e-05
0.930417,0.00026249886
0.945882,0.1295008
-0.751689,0.0021675825
-0.885439,-0.00021384656
-0.983741,-0.00027418137
0.889595,0.0023689866
-0.928066,-0.11570305
-0.772794,-0.5179602
0.937425,-0.004142821
-0.955095,-0.00033521652
-0.965616,-0.0034216642
0.903583,-0.016195789
0.628323,0.0029245093
0.818824,-0.0012256801
-0.936379,-0.02739808
0.755151,0.0020516217
0.831646,-0.003365159
0.861592,0.00018395856
0.861177,-0.006900996
-0.833043,-0.0029389262
0.946297,8.4694475e-06
0.847533,-4.740432e-05
0.853926,0.4631429
0.800056,-0.001401484
0.972034,0.055627227
0.891536,0.00017682463
-0.928508,-0.0031269193
0.945802,0.0028615892
-0.872985,0.006553769
0.806399,-0.0022922754
0.757547,0.0035644174
0.876819,0.00067055225
0.941112,0.0016727187
-0.592342,0.0007222891
-0.741886,-0.0008999109
0.857611,0.01881808
-0.966535,0.007882953
-0.931899,-0.009915531
-0.937074,-0.0022598505
-0.622058,-0.07398327
-0.977513,-0.12259254
0.829959,0.036702156
0.960301,-9.2200935e-06
0.830026,0.00010097027
0.925618,0.0049806833
0.696549,9.8820776e-05
-0.868094,-0.22447306
0.869539,0.0012960732
-0.858793,-0.015091464
-0.830581,-0.06839311
0.946361,-0.006018579
0.830193,-0.0063925087
0.520836,0.0017733574
-0.925686,-0.008885205
-0.923744,-0.0014388263
-0.747438,-0.0008434653
0.805265,-0.0017934442
0.859208,0.14475238
0.83697,0.0006489754
-0.824278,-0.032919943
0.894847,0.0056470037
-0.869961,-0.09237623
0.861228,0.105400085
0.872694,-0.00078195333
0.791573,0.1236729
0.832184,-0.005130172
0.912322,-0.0021260977
0.805739,-0.00023854896
-0.860071,-0.0043121576
-0.880959,-0.0017544627
0.890478,0.00160864
0.870994,0.0032294914
0.858366,0.011588752
0.854908,0.048926115
-0.917296,0.0006391257
-0.896031,-0.009711504
0.896872,-5.3104013e-05
0.750946,0.0033305138
-0.799175,0.0005700588
-0.866263,-0.06850082
